https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1747353600000,2025-05-16 00:00:00,DASH/USDT,23.7,24.14,23.27,23.43,13652182.51,573333.973751,6951211.91,291917.390513,194148,23.81
1747267200000,2025-05-15 00:00:00,DASH/USDT,24.78,25.36,23.02,23.71,15129345.9,633572.685515,7672885.68,321301.783248,214582,23.88
1747180800000,2025-05-14 00:00:00,DASH/USDT,25.7,26.07,24.64,24.77,17611896.17,695043.863444,8988524.64,354712.013827,251364,25.34
1747094400000,2025-05-13 00:00:00,DASH/USDT,24.82,25.84,23.51,25.69,18954243.93,771746.433659,9636985.77,392434.525782,269583,24.57
1747008000000,2025-05-12 00:00:00,DASH/USDT,24.59,25.7,23.77,24.83,18554397.15,744166.588457,9420389.43,377852.293625,265347,24.93
1746921600000,2025-05-11 00:00:00,DASH/USDT,25.2,25.33,24.09,24.58,18722977.27,757628.496116,9520566.57,385235.609416,266940,24.71
1746835200000,2025-05-10 00:00:00,DASH/USDT,23.92,25.4,23.76,25.2,14857269.75,613338.068002,7548210.77,311629.991574,211708,24.22
1746748800000,2025-05-09 00:00:00,DASH/USDT,23.2,24.9,23.02,23.92,21687762.14,912868.369952,11130469.58,468515.731853,309599,23.76
1746662400000,2025-05-08 00:00:00,DASH/USDT,21.41,23.24,21.38,23.19,15738440.4,700127.572737,8063988.44,358707.378813,224474,22.48
1746576000000,2025-05-07 00:00:00,DASH/USDT,21.16,21.64,20.83,21.42,10035713.32,471419.132138,5093324.63,239260.769869,143399,21.28
1746489600000,2025-05-06 00:00:00,DASH/USDT,21.78,22.03,20.5,21.16,8302467.63,389790.309877,4217456.19,198002.65809,118749,21.3
1746403200000,2025-05-05 00:00:00,DASH/USDT,21.92,22.18,21.56,21.78,9000537.83,411518.288519,4594657.78,210076.333561,129485,21.87
1746316800000,2025-05-04 00:00:00,DASH/USDT,22.49,22.59,21.67,21.92,7123427.35,323603.418048,3641664.04,165435.008545,102020,22.01
1746230400000,2025-05-03 00:00:00,DASH/USDT,23.65,23.75,22.09,22.48,8589425.65,372007.951837,4421032.87,191460.005716,122727,23.09
1746144000000,2025-05-02 00:00:00,DASH/USDT,23.13,24,23.02,23.66,11687990.03,500550.108889,5992628.74,256642.001707,167242,23.35
1746057600000,2025-05-01 00:00:00,DASH/USDT,23.47,23.69,23.01,23.13,14018125.63,599987.550765,7247589.2,310201.481333,199293,23.36
1745971200000,2025-04-30 00:00:00,DASH/USDT,23.13,24.58,22.83,23.47,13851336.07,594035.729188,7161815.07,307129.087284,197219,23.32
1745884800000,2025-04-29 00:00:00,DASH/USDT,23.55,24.09,22.85,23.11,12783113.8,542791.539351,6571530.91,279030.347307,183838,23.55
1745798400000,2025-04-28 00:00:00,DASH/USDT,21.34,24.84,20.91,23.57,16634458.27,713524.758236,8550053.75,366796.645879,236797,23.35
1745712000000,2025-04-27 00:00:00,DASH/USDT,22.55,22.62,21.29,21.34,9598390.71,441682.460433,4940108.8,227305.4434,137078,21.73
1745625600000,2025-04-26 00:00:00,DASH/USDT,22.37,22.8,22.17,22.55,11418361.61,506930.639231,5906096.25,262209.568558,162783,22.52
1745539200000,2025-04-25 00:00:00,DASH/USDT,22.2,22.72,21.93,22.37,14505884.41,647926.138648,7421341.85,331477.04973,205957,22.38
1745452800000,2025-04-24 00:00:00,DASH/USDT,22.41,22.44,21.61,22.19,14558964.75,661393.862668,7341336.46,333504.632167,206771,22.01
1745366400000,2025-04-23 00:00:00,DASH/USDT,22.13,22.71,22.01,22.41,18723950.86,836398.06531,9516865,425115.855062,268001,22.38
1745280000000,2025-04-22 00:00:00,DASH/USDT,20.95,22.36,20.74,22.14,13906607.16,650638.383047,7080913.63,331290.862086,199521,21.37
1745193600000,2025-04-21 00:00:00,DASH/USDT,21.25,22.29,20.81,20.95,11573049.16,542524.581911,5866580,275044.412879,166808,21.33
1745107200000,2025-04-20 00:00:00,DASH/USDT,21.63,21.73,21.15,21.24,7242080.99,338752.304293,3660642.72,171228.246623,103533,21.37
1745020800000,2025-04-19 00:00:00,DASH/USDT,20.87,22,20.8,21.67,7130364.44,334262.553596,3617886.12,169597.681818,101247,21.33
1744934400000,2025-04-18 00:00:00,DASH/USDT,20.39,21.57,20.2,20.88,7251932.59,350396.193716,3671033.59,177389.548119,104393,20.7
1744848000000,2025-04-17 00:00:00,DASH/USDT,20.16,21.41,19.99,20.4,10899572.59,534251.056032,5493688.43,269286.983084,158312,20.4
1744761600000,2025-04-16 00:00:00,DASH/USDT,20.59,20.83,19.94,20.16,14566314.12,716629.510748,7395310.15,363832.860298,208956,20.32
1744675200000,2025-04-15 00:00:00,DASH/USDT,20.54,21.27,20.5,20.6,11670353.1,564249.003756,5948152.75,287590.438634,169803,20.68
1744588800000,2025-04-14 00:00:00,DASH/USDT,20.58,21.13,20.53,20.55,15890700.65,764826.950061,8077750.45,388779.334431,225350,20.77
1744502400000,2025-04-13 00:00:00,DASH/USDT,21.32,21.41,20.5,20.59,13504248.03,647269.060766,6793269.69,325602.698194,191644,20.86
1744416000000,2025-04-12 00:00:00,DASH/USDT,20.48,21.42,20.31,21.33,13335142.45,640018.708201,6718780.97,322455.995061,189630,20.84
1744329600000,2025-04-11 00:00:00,DASH/USDT,19.92,20.94,19.84,20.5,16299061.21,799968.150552,8220162.86,403460.287815,230897,20.37
1744243200000,2025-04-10 00:00:00,DASH/USDT,20.75,20.91,19.52,19.92,15576483.19,768070.75638,7882301.77,388653.398697,221337,20.28
1744156800000,2025-04-09 00:00:00,DASH/USDT,18.97,20.97,18.58,20.76,19472472.36,979908.90867,9832256.53,494727.034268,278342,19.89
1744070400000,2025-04-08 00:00:00,DASH/USDT,19.68,20.24,18.93,18.96,14739429.18,750267.75394,7435236.64,378447.480515,209439,19.65
1743984000000,2025-04-07 00:00:00,DASH/USDT,19.96,20.32,17.87,19.68,25139501.08,1299216.573199,12800802.48,661578.591782,358834,19.36
1743897600000,2025-04-06 00:00:00,DASH/USDT,21.46,21.47,19.48,19.97,12036237.06,581760.44746,6063013.75,293063.050695,169658,20.7
1743811200000,2025-04-05 00:00:00,DASH/USDT,21.67,21.89,21.2,21.45,9572248.64,443354.619524,4834894.05,223920.836248,135872,21.59
