date,symbol,strategy,current_price,predicted_price,next_price,investment_made,capital_before,capital_invested,capital_after,capital_gained,return_pct
2025-06-12,DASH/USDT,PolynomialRegression_degree_2,20.69,21.53,20.48,Yes,1000.0,1000.0,989.85,-10.15,-0.0101
2025-06-13,DASH/USDT,PolynomialRegression_degree_2,20.48,21.04,20.22,Yes,989.85,989.85,977.28,-12.57,-0.0127
2025-06-14,DASH/USDT,PolynomialRegression_degree_2,20.22,20.57,20.12,Yes,977.28,977.28,972.45,-4.83,-0.0049
2025-06-15,DASH/USDT,PolynomialRegression_degree_2,20.12,20.44,20.17,Yes,972.45,972.45,974.87,2.42,0.0025
2025-06-16,DASH/USDT,PolynomialRegression_degree_2,20.17,19.75,19.65,No,974.87,0.0,974.87,0.0,0.0
2025-06-17,DASH/USDT,PolynomialRegression_degree_2,19.65,18.71,19.85,No,974.87,0.0,974.87,0.0,0.0
2025-06-18,DASH/USDT,PolynomialRegression_degree_2,19.85,18.81,19.92,No,974.87,0.0,974.87,0.0,0.0
2025-06-19,DASH/USDT,PolynomialRegression_degree_2,19.92,19.17,19.52,No,974.87,0.0,974.87,0.0,0.0
2025-06-20,DASH/USDT,PolynomialRegression_degree_2,19.52,18.96,18.82,No,974.87,0.0,974.87,0.0,0.0
2025-06-12,DASH/USDT,PolynomialRegression_degree_3,20.69,21.88,20.48,Yes,1000.0,1000.0,989.85,-10.15,-0.0101
2025-06-13,DASH/USDT,PolynomialRegression_degree_3,20.48,21.41,20.22,Yes,989.85,989.85,977.28,-12.57,-0.0127
2025-06-14,DASH/USDT,PolynomialRegression_degree_3,20.22,20.92,20.12,Yes,977.28,977.28,972.45,-4.83,-0.0049
2025-06-15,DASH/USDT,PolynomialRegression_degree_3,20.12,20.7,20.17,Yes,972.45,972.45,974.87,2.42,0.0025
2025-06-16,DASH/USDT,PolynomialRegression_degree_3,20.17,20.14,19.65,No,974.87,0.0,974.87,0.0,0.0
2025-06-17,DASH/USDT,PolynomialRegression_degree_3,19.65,19.48,19.85,No,974.87,0.0,974.87,0.0,0.0
2025-06-18,DASH/USDT,PolynomialRegression_degree_3,19.85,19.67,19.92,No,974.87,0.0,974.87,0.0,0.0
